date,open,high,low,close,volume,amount,turnover_pct,chg_pct
2021-07-09,2.36097297,2.36876496,2.35318098,2.36097297,195685650,592508599.99,0.0665,0.3311
2021-07-12,2.36876496,2.36876496,2.35318098,2.35318098,204729217,619426611.34,0.0696,-0.33
2021-07-13,2.35318098,2.36097297,2.34538899,2.35318098,185575962,560973042.24,0.0631,0.0
2021-07-14,2.36097297,2.36097297,2.32201302,2.32980501,297413008,891945012.98,0.1011,-0.9934
2021-07-15,2.32980501,2.34538899,2.32980501,2.337597,158234441,475074657.81,0.0538,0.3344
2021-07-16,2.337597,2.34538899,2.32980501,2.32980501,135014220,404410281.8,0.0459,-0.3333
2021-07-19,2.32980501,2.34538899,2.32980501,2.337597,133880534,401263608.42,0.0455,0.3344
2021-07-20,2.337597,2.337597,2.32980501,2.337597,103930321,311169847.79,0.0353,0.0
2021-07-21,2.32980501,2.337597,2.32201302,2.32980501,187615757,560996122.19,0.0638,-0.3333
2021-07-22,2.32980501,2.337597,2.32201302,2.337597,129534451,387639237.49,0.0441,0.3344
2021-07-23,2.32980501,2.337597,2.32201302,2.32980501,163241891,487867172.09,0.0555,-0.3333
2021-07-26,2.32980501,2.337597,2.31422103,2.32201302,219835199,655192319.94,0.0748,-0.3344
2021-07-27,2.32201302,2.32980501,2.30642904,2.30642904,227911352,677285857.33,0.0775,-0.6711
2021-07-28,2.30642904,2.32201302,2.29863705,2.31422103,306646944,910517894.4,0.1043,0.3378
2021-07-29,2.31422103,2.32201302,2.29863705,2.29863705,163406246,483543970.99,0.0556,-0.6734
2021-07-30,2.29863705,2.30642904,2.27526108,2.28305307,191968801,562566711.56,0.0653,-0.678
2021-08-02,2.27526108,2.29863705,2.2596771,2.29084506,236233754,691216077.6,0.0803,0.3413
2021-08-03,2.28305307,2.28305307,2.26746909,2.27526108,159535785,465289282.35,0.0543,-0.6803
2021-08-04,2.26746909,2.28305307,2.26746909,2.27526108,132448861,386261292.51,0.045,0.0
2021-08-05,2.26746909,2.27526108,2.2596771,2.2596771,152128600,442859839.0,0.0517,-0.6849
2021-08-06,2.26746909,2.26746909,2.2596771,2.26746909,102400332,297518447.8,0.0348,0.3448
2021-08-09,2.2596771,2.28305307,2.2596771,2.27526108,167823486,489971753.11,0.0571,0.3436
2021-08-10,2.27526108,2.28305307,2.26746909,2.27526108,142364007,415376860.92,0.0484,0.0
2021-08-11,2.27526108,2.30642904,2.27526108,2.29863705,308205952,907452856.05,0.1048,1.0274
2021-08-12,2.29084506,2.29863705,2.28305307,2.29084506,121160392,355821440.48,0.0412,-0.339
2021-08-13,2.28305307,2.29084506,2.27526108,2.28305307,90128249,264155209.47,0.0307,-0.3401
2021-08-16,2.28305307,2.29084506,2.27526108,2.28305307,101268763,297216635.59,0.0344,0.0
2021-08-17,2.28305307,2.29863705,2.28305307,2.28305307,178037724,523495107.32,0.0605,0.0
2021-08-18,2.27526108,2.31422103,2.27526108,2.30642904,236552293,697692524.68,0.0804,1.0239
2021-08-19,2.30642904,2.30642904,2.28305307,2.29084506,151186552,445044156.36,0.0514,-0.6757
2021-08-20,2.29084506,2.31422103,2.28305307,2.30642904,211841377,624720227.42,0.072,0.6803
2021-08-23,2.30642904,2.30642904,2.29863705,2.29863705,127369000,376144236.0,0.0433,-0.3378
2021-08-24,2.29863705,2.30642904,2.29084506,2.29084506,117760376,346800506.45,0.04,-0.339
2021-08-25,2.29084506,2.29084506,2.28305307,2.28305307,109946575,322486138.75,0.0374,-0.3401
2021-08-26,2.28305307,2.29084506,2.27526108,2.27526108,122231834,357327494.28,0.0416,-0.3413
2021-08-27,2.27526108,2.28305307,2.27526108,2.28305307,128252501,375021948.92,0.0429,0.3425
2021-08-30,2.27526108,2.28305307,2.26746909,2.27526108,197291201,575297464.91,0.0659,-0.3413
2021-08-31,2.27526108,2.30642904,2.26746909,2.30642904,266424336,783608128.13,0.089,1.3699
2021-09-01,2.29863705,2.32980501,2.29863705,2.32980501,338156720,1004927619.72,0.113,1.0135
2021-09-02,2.32201302,2.32980501,2.31422103,2.32201302,160218107,477514052.55,0.0535,-0.3344
2021-09-03,2.32980501,2.34538899,2.31422103,2.34538899,217275144,651084662.06,0.0726,1.0067
2021-09-06,2.337597,2.35318098,2.32980501,2.34538899,160102315,481247254.0,0.0535,0.0
2021-09-07,2.34538899,2.36876496,2.32980501,2.35318098,245622390,739318330.23,0.0821,0.3322
2021-09-08,2.36097297,2.37655695,2.34538899,2.36876496,208800294,633163500.3,0.0698,0.6623
2021-09-09,2.36097297,2.37655695,2.35318098,2.36876496,171636994,521023458.74,0.0573,0.0
2021-09-10,2.36876496,2.39993292,2.36097297,2.36876496,326372352,996707801.52,0.1091,0.0
2021-09-13,2.36097297,2.37655695,2.35318098,2.36097297,233139516,706945439.68,0.0779,-0.3289
2021-09-14,2.36876496,2.37655695,2.32980501,2.32980501,283614512,855457651.02,0.0948,-1.3201
2021-09-15,2.32980501,2.337597,2.31422103,2.32201302,200771159,599470139.82,0.0671,-0.3344
2021-09-16,2.32201302,2.337597,2.31422103,2.31422103,263277400,785118731.21,0.088,-0.3356
2021-09-17,2.31422103,2.32980501,2.31422103,2.32201302,189527408,564732416.76,0.0633,0.3367
2021-09-22,2.29863705,2.30642904,2.29084506,2.29863705,231919577,684075436.16,0.0775,-1.0067
2021-09-23,2.30642904,2.32201302,2.29863705,2.30642904,198436817,588201530.35,0.0663,0.339
2021-09-24,2.30642904,2.31422103,2.29084506,2.29084506,172857251,510736358.82,0.0578,-0.6757
2021-09-27,2.29084506,2.29863705,2.27526108,2.28305307,230452993,675746280.02,0.077,-0.3401
2021-09-28,2.28305307,2.30642904,2.28305307,2.29863705,216021109,636695309.55,0.0722,0.6826
2021-09-29,2.29084506,2.31422103,2.28305307,2.30642904,248050713,731292488.3,0.0829,0.339
2021-09-30,2.29863705,2.30642904,2.28305307,2.29084506,206052263,606750339.07,0.0688,-0.6757
2021-10-08,2.29863705,2.31422103,2.29084506,2.30642904,260039610,768969527.76,0.0869,0.6803
2021-10-11,2.30642904,2.337597,2.29863705,2.32980501,308489728,920163173.48,0.1031,1.0135
2021-10-12,2.32201302,2.32980501,2.31422103,2.32201302,240611496,716972179.94,0.0804,-0.3344
2021-10-13,2.32201302,2.32201302,2.30642904,2.30642904,142343745,422339010.2,0.0476,-0.6711
2021-10-14,2.31422103,2.31422103,2.29863705,2.29863705,133277879,393993682.91,0.0445,-0.3378
2021-10-15,2.30642904,2.30642904,2.29863705,2.29863705,161284978,476510435.1,0.0539,0.0
2021-10-18,2.29863705,2.30642904,2.29084506,2.30642904,201259136,594658944.55,0.0672,0.339
2021-10-19,2.29863705,2.30642904,2.29863705,2.29863705,148527619,438564134.05,0.0496,-0.3378
2021-10-20,2.29863705,2.30642904,2.29084506,2.29863705,148281400,437032269.0,0.0495,0.0
2021-10-21,2.29863705,2.31422103,2.29084506,2.31422103,235727462,697813563.4,0.0788,0.678
2021-10-22,2.31422103,2.32201302,2.29863705,2.30642904,167106255,495329576.88,0.0558,-0.3367
2021-10-25,2.30642904,2.31422103,2.29863705,2.30642904,143950637,425766332.29,0.0481,0.0
2021-10-26,2.30642904,2.30642904,2.29084506,2.29084506,217735467,641859771.62,0.0728,-0.6757
2021-10-27,2.29084506,2.29863705,2.28305307,2.29084506,161775136,474975182.68,0.0541,0.0
2021-10-28,2.29084506,2.29084506,2.27526108,2.28305307,158669249,465108126.84,0.053,-0.3401
2021-10-29,2.29084506,2.29084506,2.28305307,2.29084506,148746268,436756066.24,0.0497,0.3413
2021-11-01,2.29084506,2.30642904,2.28305307,2.30642904,267299329,788766136.03,0.0893,0.6803
2021-11-02,2.30642904,2.30642904,2.27526108,2.28305307,304074432,894058695.76,0.1016,-1.0135
2021-11-03,2.28305307,2.29084506,2.27526108,2.28305307,175212782,513769662.66,0.0585,0.0
