date,股票代码,open,close,high,low,volume,amount,amplitude_pct,chg_pct,chg_amt,turnover_pct,ma5,ma20,ema12,ema26,diff,dea,macd,rsi14,bb_upper,bb_mid,bb_lower,bb_width
2024-07-08,002837,15.35,15.35,15.57,15.23,71672,144595235.09,2.2,-0.45,-0.07,1.12,15.446000000000002,16.744,16.02914488014485,16.756806363931265,-0.7277,-0.6005,-0.2544,31.37,18.8707,16.744,14.6173,0.254
2024-07-09,002837,15.31,16.56,16.75,15.19,182427,384993000.02,10.16,7.88,1.21,2.84,15.616,16.680999999999997,16.110814898584106,16.74222811475117,-0.6314,-0.6067,-0.0495,47.72,18.7504,16.681,14.6116,0.2481
2024-07-10,002837,16.48,16.64,16.85,16.47,100936,221286669.29,2.29,0.48,0.08,1.57,15.854,16.634,16.19222799110963,16.73465566180664,-0.5424,-0.5938,0.1028,48.59,18.6619,16.634,14.6061,0.2438
2024-07-11,002837,16.76,17.01,17.25,16.69,131754,293918145.86,3.37,2.22,0.37,2.05,16.196,16.5805,16.318039069400456,16.755051538709854,-0.437,-0.5625,0.2509,52.53,18.5069,16.5805,14.6541,0.2324
2024-07-12,002837,17.49,18.72,18.72,17.42,353110,844654040.01,7.64,10.05,1.71,5.5,16.856,16.595499999999998,16.687571520261923,16.900603276583197,-0.213,-0.4926,0.5591,65.64,18.5826,16.5955,14.6084,0.2395
2024-07-15,002837,18.53,18.43,18.64,18.25,223530,540527293.85,2.08,-1.55,-0.29,3.48,17.472,16.598999999999997,16.95563744022163,17.01389192276222,-0.0583,-0.4057,0.6949,62.49,18.5988,16.599,14.5992,0.241
2024-07-16,002837,18.32,18.58,18.61,18.05,175812,423476847.84,3.04,0.81,0.15,2.74,17.875999999999998,16.633,17.205539372495224,17.12989992848354,0.0756,-0.3094,0.7702,63.47,18.7403,16.633,14.5257,0.2534
2024-07-17,002837,18.76,18.31,18.98,18.28,127085,308399464.2,3.77,-1.45,-0.27,1.98,18.21,16.644,17.375456392111342,17.217314748595868,0.1581,-0.2159,0.7481,60.41,18.7837,16.644,14.5043,0.2571
2024-07-18,002837,17.85,17.88,18.15,17.48,169753,395449654.75,3.66,-2.35,-0.43,2.64,18.383999999999997,16.685499999999998,17.453078485632673,17.266402544996176,0.1867,-0.1354,0.6442,55.81,18.8864,16.6855,14.4846,0.2638
2024-07-19,002837,17.77,17.88,18.1,17.72,87004,204369574.78,2.13,0.0,0.0,1.35,18.215999999999998,16.7335,17.51875871861226,17.31185420832979,0.2069,-0.0669,0.5477,55.81,18.9938,16.7335,14.4732,0.2702
2024-07-22,002837,17.85,17.8,18.02,17.64,95030,222037760.15,2.13,-0.45,-0.08,1.48,18.09,16.804499999999997,17.562026608056527,17.34801315586092,0.214,-0.0107,0.4495,54.91,19.1048,16.8045,14.5042,0.2738
2024-07-23,002837,17.9,17.0,17.91,16.96,145924,332326582.21,5.34,-4.49,-0.8,2.27,17.774,16.8635,17.47556097604783,17.322234403574924,0.1533,0.0221,0.2625,46.77,19.1199,16.8635,14.6071,0.2676
2024-07-24,002837,17.16,17.42,17.96,17.15,206810,477378315.35,4.76,2.47,0.42,3.22,17.596,16.916,17.467013133578934,17.329476299606412,0.1375,0.0452,0.1848,50.88,19.1729,16.916,14.6591,0.2668
2024-07-25,002837,16.99,17.09,17.38,16.92,144727,324705697.4,2.64,-1.89,-0.33,2.25,17.438,16.958,17.409011113028328,17.311737314450383,0.0973,0.0556,0.0834,47.76,19.1949,16.958,14.7211,0.2638
2024-07-26,002837,17.15,17.32,17.59,16.92,117746,265903670.49,3.92,1.35,0.23,1.83,17.326,17.009,17.395317095639356,17.312349365231835,0.083,0.0611,0.0438,50.06,19.23,17.009,14.788,0.2612
2024-07-29,002837,17.32,17.06,17.38,16.97,87340,195779820.45,2.37,-1.5,-0.26,1.36,17.178,17.0465,17.34372985015638,17.29365681965911,0.0501,0.0589,-0.0176,47.51,19.2443,17.0465,14.8487,0.2579
2024-07-30,002837,16.85,16.68,17.0,16.42,110208,241468005.84,3.4,-2.23,-0.38,1.72,17.113999999999997,17.095,17.241617565516936,17.24820075894362,-0.0066,0.0458,-0.1047,43.99,19.214,17.095,14.976,0.2479
2024-07-31,002837,16.67,17.83,18.05,16.48,191492,438760947.95,9.41,6.89,1.15,2.98,17.195999999999998,17.214000000000002,17.332137940052792,17.291296999021874,0.0408,0.0448,-0.0079,54.9,19.2141,17.214,15.2139,0.2324
